ï»¿id,income,health_cover,house,wc,phone,car,consumption
1003515,3,0,1,0,1,1,0
1003526,3,0,1,0,1,1,0
1003532,4,1,0,1,1,0,0
1003544,4,1,0,1,1,0,0
1003559,3,0,0,0,1,0,0
1003567,4,1,0,0,1,1,0
1003571,5,1,1,0,0,1,0
1003580,5,1,1,1,1,0,0
1003598,2,1,1,0,0,0,0
1003604,3,1,0,0,0,0,0
1003619,5,1,1,1,1,1,1
1003628,6,1,0,1,1,0,0
1003637,2,1,0,0,1,0,0
1003643,4,1,1,0,1,0,0
1003655,2,0,0,0,1,1,0
1003662,3,0,0,1,1,0,0
1003670,2,0,0,0,0,0,0
1003681,5,1,1,1,1,1,0
1003696,6,1,1,1,1,1,0
1003709,6,1,1,1,1,0,1
1003711,6,1,1,1,1,1,0
1003727,4,1,1,1,1,1,0
1003730,3,1,0,0,1,0,0
1003748,3,1,0,0,1,0,0
1003753,3,0,0,1,1,0,0
1003766,6,1,1,1,1,1,0
1003782,5,1,1,1,1,1,0
1003794,5,1,1,1,1,0,0
1003802,4,1,0,0,1,1,0
1003816,5,1,1,1,1,1,0
1003825,5,1,0,0,1,1,0
1003833,3,1,0,0,1,1,0
1003840,1,1,0,0,0,0,0
1003857,5,0,0,1,1,0,0
1003869,3,1,1,1,1,0,0
1003878,5,1,0,0,1,0,1
1003884,5,1,1,1,1,1,0
1003891,5,1,0,1,1,0,0
1003905,5,1,0,0,1,1,0
1003910,4,1,0,1,1,0,1
1003922,4,1,1,0,1,1,0
1003931,4,1,0,1,1,1,0
1003946,5,1,1,1,1,1,0
1003954,3,1,1,1,1,0,0
1003968,5,1,1,0,0,1,0
1003979,4,1,1,1,1,1,0
1003987,6,1,0,1,1,0,0
1003993,1,0,1,1,1,0,0
1004003,4,0,0,1,1,1,0
1004015,5,1,1,1,1,1,0
1004026,5,1,0,0,1,1,0
1004032,4,1,1,1,1,1,0
1004044,3,1,0,0,1,1,0
1004059,6,1,0,1,1,1,0
1004067,2,1,0,1,0,0,0
1004071,6,1,0,1,1,1,0
1004080,5,0,0,1,1,0,0
1004098,5,1,0,1,1,0,1
1004102,5,1,1,1,1,0,0
